FedAvg Server | INFO flwr 2024-03-20 11:21:31,233 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=100, round_timeout=None)
FedAvg Server | INFO flwr 2024-03-20 11:21:31,242 | app.py:176 | Flower ECE: gRPC server running (100 rounds), SSL is disabled
FedAvg Server | INFO flwr 2024-03-20 11:21:31,242 | server.py:89 | Initializing global parameters
FedAvg Server | INFO flwr 2024-03-20 11:21:31,242 | server.py:276 | Requesting initial parameters from one random client
FedAvg Server | INFO flwr 2024-03-20 11:23:24,882 | server.py:280 | Received initial parameters from one random client
FedAvg Server | INFO flwr 2024-03-20 11:23:24,882 | server.py:91 | Evaluating initial parameters
FedAvg Server | INFO flwr 2024-03-20 11:23:24,917 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
FedAvg Server | INFO flwr 2024-03-20 11:23:24,920 | server.py:104 | FL starting
FedAvg Server | DEBUG flwr 2024-03-20 11:23:39,082 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-03-20 11:23:39,120 | server.py:236 | fit_round 1 received 2 results and 0 failures
FedAvg Server | WARNING flwr 2024-03-20 11:23:39,121 | fedavg.py:250 | No fit_metrics_aggregation_fn provided
FedAvg Server | INFO flwr 2024-03-20 11:23:39,138 | server.py:125 | fit progress: (1, 0.9764423266991408, {'accuracy': 0.5639}, 14.216564776957966)
FedAvg Server | DEBUG flwr 2024-03-20 11:23:39,138 | server.py:173 | evaluate_round 1: strategy sampled 100 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-03-20 11:23:40,858 | server.py:187 | evaluate_round 1 received 100 results and 0 failures
FedAvg Server | WARNING flwr 2024-03-20 11:23:40,858 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
FedAvg Server | DEBUG flwr 2024-03-20 11:23:40,859 | server.py:222 | fit_round 2: strategy sampled 100 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-03-20 11:23:41,841 | server.py:236 | fit_round 2 received 100 results and 0 failures
FedAvg Server | INFO flwr 2024-03-20 11:23:41,875 | server.py:125 | fit progress: (2, 0.9134949186987041, {'accuracy': 0.5575}, 16.95397899998352)
FedAvg Server | DEBUG flwr 2024-03-20 11:23:41,876 | server.py:173 | evaluate_round 2: strategy sampled 100 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-03-20 11:23:43,031 | server.py:187 | evaluate_round 2 received 100 results and 0 failures
FedAvg Server | DEBUG flwr 2024-03-20 11:23:43,032 | server.py:222 | fit_round 3: strategy sampled 100 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-03-20 11:23:43,910 | server.py:236 | fit_round 3 received 100 results and 0 failures
FedAvg Server | INFO flwr 2024-03-20 11:23:43,956 | server.py:125 | fit progress: (3, 0.8550080824275641, {'accuracy': 0.5925}, 19.034881828934886)
FedAvg Server | DEBUG flwr 2024-03-20 11:23:43,959 | server.py:173 | evaluate_round 3: strategy sampled 100 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-03-20 11:23:44,966 | server.py:187 | evaluate_round 3 received 100 results and 0 failures
FedAvg Server | DEBUG flwr 2024-03-20 11:23:44,966 | server.py:222 | fit_round 4: strategy sampled 100 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-03-20 11:23:45,661 | server.py:236 | fit_round 4 received 100 results and 0 failures
FedAvg Server | INFO flwr 2024-03-20 11:23:45,707 | server.py:125 | fit progress: (4, 0.8358535580190568, {'accuracy': 0.6019}, 20.786343426909298)
FedAvg Server | DEBUG flwr 2024-03-20 11:23:45,710 | server.py:173 | evaluate_round 4: strategy sampled 100 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-03-20 11:23:46,789 | server.py:187 | evaluate_round 4 received 100 results and 0 failures
FedAvg Server | DEBUG flwr 2024-03-20 11:23:46,790 | server.py:222 | fit_round 5: strategy sampled 100 clients (out of 100)
FedAvg Server | DEBUG flwr 2024-03-20 11:23:47,635 | server.py:236 | fit_round 5 received 100 results and 0 failures
