Krum Server | INFO flwr 2024-03-20 03:59:06,928 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
Krum Server | INFO flwr 2024-03-20 03:59:06,942 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
Krum Server | INFO flwr 2024-03-20 03:59:06,942 | server.py:89 | Initializing global parameters
Krum Server | INFO flwr 2024-03-20 03:59:06,942 | server.py:276 | Requesting initial parameters from one random client
Krum Server | INFO flwr 2024-03-20 04:00:26,196 | server.py:280 | Received initial parameters from one random client
Krum Server | INFO flwr 2024-03-20 04:00:26,196 | server.py:91 | Evaluating initial parameters
Krum Server | INFO flwr 2024-03-20 04:00:26,228 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
Krum Server | INFO flwr 2024-03-20 04:00:26,231 | server.py:104 | FL starting
Krum Server | DEBUG flwr 2024-03-20 04:00:33,334 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:33,360 | server.py:236 | fit_round 1 received 2 results and 0 failures
Krum Server | WARNING flwr 2024-03-20 04:00:33,361 | krum.py:153 | No fit_metrics_aggregation_fn provided
Krum Server | INFO flwr 2024-03-20 04:00:33,384 | server.py:125 | fit progress: (1, 0.9372186526880407, {'accuracy': 0.5547}, 7.15229380200617)
Krum Server | DEBUG flwr 2024-03-20 04:00:33,389 | server.py:173 | evaluate_round 1: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:34,240 | server.py:187 | evaluate_round 1 received 100 results and 0 failures
Krum Server | WARNING flwr 2024-03-20 04:00:34,240 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
Krum Server | DEBUG flwr 2024-03-20 04:00:34,240 | server.py:222 | fit_round 2: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:34,510 | server.py:236 | fit_round 2 received 100 results and 0 failures
Krum Server | INFO flwr 2024-03-20 04:00:34,627 | server.py:125 | fit progress: (2, 0.9712177093063863, {'accuracy': 0.5324}, 8.394900821032934)
Krum Server | DEBUG flwr 2024-03-20 04:00:34,630 | server.py:173 | evaluate_round 2: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:34,967 | server.py:187 | evaluate_round 2 received 100 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 04:00:34,968 | server.py:222 | fit_round 3: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:35,231 | server.py:236 | fit_round 3 received 100 results and 0 failures
Krum Server | INFO flwr 2024-03-20 04:00:35,349 | server.py:125 | fit progress: (3, 0.9612304399884714, {'accuracy': 0.5862}, 9.116781329037622)
Krum Server | DEBUG flwr 2024-03-20 04:00:35,350 | server.py:173 | evaluate_round 3: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:35,699 | server.py:187 | evaluate_round 3 received 100 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 04:00:35,700 | server.py:222 | fit_round 4: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:35,948 | server.py:236 | fit_round 4 received 100 results and 0 failures
Krum Server | INFO flwr 2024-03-20 04:00:36,015 | server.py:125 | fit progress: (4, 0.8613715719285294, {'accuracy': 0.5871}, 9.782812020042911)
Krum Server | DEBUG flwr 2024-03-20 04:00:36,016 | server.py:173 | evaluate_round 4: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:36,343 | server.py:187 | evaluate_round 4 received 100 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 04:00:36,343 | server.py:222 | fit_round 5: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:36,595 | server.py:236 | fit_round 5 received 100 results and 0 failures
Krum Server | INFO flwr 2024-03-20 04:00:36,720 | server.py:125 | fit progress: (5, 0.8658271532453771, {'accuracy': 0.5806}, 10.487708861008286)
Krum Server | DEBUG flwr 2024-03-20 04:00:36,722 | server.py:173 | evaluate_round 5: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:37,056 | server.py:187 | evaluate_round 5 received 100 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 04:00:37,056 | server.py:222 | fit_round 6: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:37,324 | server.py:236 | fit_round 6 received 100 results and 0 failures
Krum Server | INFO flwr 2024-03-20 04:00:37,445 | server.py:125 | fit progress: (6, 0.8455342709676564, {'accuracy': 0.5865}, 11.212726308964193)
Krum Server | DEBUG flwr 2024-03-20 04:00:37,446 | server.py:173 | evaluate_round 6: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:37,768 | server.py:187 | evaluate_round 6 received 100 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 04:00:37,769 | server.py:222 | fit_round 7: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:38,019 | server.py:236 | fit_round 7 received 100 results and 0 failures
Krum Server | INFO flwr 2024-03-20 04:00:38,142 | server.py:125 | fit progress: (7, 0.8476156955508157, {'accuracy': 0.5922}, 11.910437315003946)
Krum Server | DEBUG flwr 2024-03-20 04:00:38,146 | server.py:173 | evaluate_round 7: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:38,464 | server.py:187 | evaluate_round 7 received 100 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 04:00:38,465 | server.py:222 | fit_round 8: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:38,712 | server.py:236 | fit_round 8 received 100 results and 0 failures
Krum Server | INFO flwr 2024-03-20 04:00:38,836 | server.py:125 | fit progress: (8, 0.847455633177221, {'accuracy': 0.5934}, 12.603806974017061)
Krum Server | DEBUG flwr 2024-03-20 04:00:38,839 | server.py:173 | evaluate_round 8: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:39,161 | server.py:187 | evaluate_round 8 received 100 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 04:00:39,161 | server.py:222 | fit_round 9: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:39,413 | server.py:236 | fit_round 9 received 100 results and 0 failures
Krum Server | INFO flwr 2024-03-20 04:00:39,479 | server.py:125 | fit progress: (9, 0.8399654826719528, {'accuracy': 0.5994}, 13.247051115962677)
Krum Server | DEBUG flwr 2024-03-20 04:00:39,479 | server.py:173 | evaluate_round 9: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:39,889 | server.py:187 | evaluate_round 9 received 100 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 04:00:39,890 | server.py:222 | fit_round 10: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:40,142 | server.py:236 | fit_round 10 received 100 results and 0 failures
Krum Server | INFO flwr 2024-03-20 04:00:40,259 | server.py:125 | fit progress: (10, 0.8406995168448711, {'accuracy': 0.6009}, 14.026727778022178)
Krum Server | DEBUG flwr 2024-03-20 04:00:40,261 | server.py:173 | evaluate_round 10: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:00:40,574 | server.py:187 | evaluate_round 10 received 100 results and 0 failures
Krum Server | INFO flwr 2024-03-20 04:00:40,575 | server.py:153 | FL finished in 14.342853690963238
Krum Server | INFO flwr 2024-03-20 04:00:40,575 | app.py:226 | app_fit: losses_distributed [(1, 0.9455091398954392), (2, 0.979755300283432), (3, 0.9643549782037735), (4, 0.8582201552391052), (5, 0.8693558424711227), (6, 0.8446877562999725), (7, 0.8480295324325562), (8, 0.8479183435440063), (9, 0.8442271846532822), (10, 0.8447198188304901)]
Krum Server | INFO flwr 2024-03-20 04:00:40,575 | app.py:227 | app_fit: metrics_distributed_fit {}
Krum Server | INFO flwr 2024-03-20 04:00:40,575 | app.py:228 | app_fit: metrics_distributed {}
Krum Server | INFO flwr 2024-03-20 04:00:40,576 | app.py:229 | app_fit: losses_centralized [(0, 1.0986122886681096), (1, 0.9372186526880407), (2, 0.9712177093063863), (3, 0.9612304399884714), (4, 0.8613715719285294), (5, 0.8658271532453771), (6, 0.8455342709676564), (7, 0.8476156955508157), (8, 0.847455633177221), (9, 0.8399654826719528), (10, 0.8406995168448711)]
Krum Server | INFO flwr 2024-03-20 04:00:40,576 | app.py:230 | app_fit: metrics_centralized {'accuracy': [(0, 0.2894), (1, 0.5547), (2, 0.5324), (3, 0.5862), (4, 0.5871), (5, 0.5806), (6, 0.5865), (7, 0.5922), (8, 0.5934), (9, 0.5994), (10, 0.6009)]}
Krum Server | INFO flwr 2024-03-20 04:00:46,034 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
Krum Server | INFO flwr 2024-03-20 04:00:46,045 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
Krum Server | INFO flwr 2024-03-20 04:00:46,045 | server.py:89 | Initializing global parameters
Krum Server | INFO flwr 2024-03-20 04:00:46,045 | server.py:276 | Requesting initial parameters from one random client
Krum Server | INFO flwr 2024-03-20 04:02:05,136 | server.py:280 | Received initial parameters from one random client
Krum Server | INFO flwr 2024-03-20 04:02:05,136 | server.py:91 | Evaluating initial parameters
Krum Server | INFO flwr 2024-03-20 04:02:05,157 | server.py:94 | initial parameters (loss, other metrics): 1.0986122886681096, {'accuracy': 0.2894}
Krum Server | INFO flwr 2024-03-20 04:02:05,157 | server.py:104 | FL starting
Krum Server | DEBUG flwr 2024-03-20 04:02:12,399 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:02:12,434 | server.py:236 | fit_round 1 received 2 results and 0 failures
Krum Server | WARNING flwr 2024-03-20 04:02:12,435 | krum.py:153 | No fit_metrics_aggregation_fn provided
Krum Server | INFO flwr 2024-03-20 04:02:12,460 | server.py:125 | fit progress: (1, 0.9367021175732065, {'accuracy': 0.5724}, 7.302370541030541)
Krum Server | DEBUG flwr 2024-03-20 04:02:12,462 | server.py:173 | evaluate_round 1: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:02:13,119 | server.py:187 | evaluate_round 1 received 100 results and 0 failures
Krum Server | WARNING flwr 2024-03-20 04:02:13,119 | fedavg.py:281 | No evaluate_metrics_aggregation_fn provided
Krum Server | DEBUG flwr 2024-03-20 04:02:13,119 | server.py:222 | fit_round 2: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:02:13,386 | server.py:236 | fit_round 2 received 100 results and 0 failures
Krum Server | INFO flwr 2024-03-20 04:02:13,505 | server.py:125 | fit progress: (2, 0.9484429583069254, {'accuracy': 0.5375}, 8.34735570603516)
Krum Server | DEBUG flwr 2024-03-20 04:02:13,507 | server.py:173 | evaluate_round 2: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:02:13,841 | server.py:187 | evaluate_round 2 received 100 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 04:02:13,842 | server.py:222 | fit_round 3: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:02:14,107 | server.py:236 | fit_round 3 received 100 results and 0 failures
Krum Server | INFO flwr 2024-03-20 04:02:14,191 | server.py:125 | fit progress: (3, 0.9626467499391128, {'accuracy': 0.5983}, 9.034008563030511)
Krum Server | DEBUG flwr 2024-03-20 04:02:14,192 | server.py:173 | evaluate_round 3: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:02:14,514 | server.py:187 | evaluate_round 3 received 100 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 04:02:14,515 | server.py:222 | fit_round 4: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:02:14,769 | server.py:236 | fit_round 4 received 100 results and 0 failures
Krum Server | INFO flwr 2024-03-20 04:02:14,882 | server.py:125 | fit progress: (4, 0.8462067971261775, {'accuracy': 0.5974}, 9.72490828402806)
Krum Server | DEBUG flwr 2024-03-20 04:02:14,883 | server.py:173 | evaluate_round 4: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:02:15,230 | server.py:187 | evaluate_round 4 received 100 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 04:02:15,230 | server.py:222 | fit_round 5: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:02:15,483 | server.py:236 | fit_round 5 received 100 results and 0 failures
Krum Server | INFO flwr 2024-03-20 04:02:15,602 | server.py:125 | fit progress: (5, 0.8526431352186749, {'accuracy': 0.5872}, 10.444889712031)
Krum Server | DEBUG flwr 2024-03-20 04:02:15,605 | server.py:173 | evaluate_round 5: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:02:15,922 | server.py:187 | evaluate_round 5 received 100 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 04:02:15,923 | server.py:222 | fit_round 6: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:02:16,176 | server.py:236 | fit_round 6 received 100 results and 0 failures
Krum Server | INFO flwr 2024-03-20 04:02:16,293 | server.py:125 | fit progress: (6, 0.8522657360219736, {'accuracy': 0.5952}, 11.136080461088568)
Krum Server | DEBUG flwr 2024-03-20 04:02:16,296 | server.py:173 | evaluate_round 6: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:02:16,617 | server.py:187 | evaluate_round 6 received 100 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 04:02:16,617 | server.py:222 | fit_round 7: strategy sampled 100 clients (out of 100)
Krum Server | DEBUG flwr 2024-03-20 04:02:16,867 | server.py:236 | fit_round 7 received 100 results and 0 failures
